Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
An Empirical Study of the Personnel Overhead of Continuous Integration;software maintenance;development operations;CI/CD;software maintenance;effort estimation;;;;
Andromeda: A Dataset of Ansible Galaxy Roles and Their Evolution;MSR techniques;dataset and benchmark creation;;software maintenance;development operations;;;;
A Time Series-Based Dataset of Open-Source Software Evolution;MSR techniques;dataset and benchmark creation;;software maintenance;activity and productivity;;software quality;code metrics;
Adressing Problems with External Validity of Repository Mining Studies Through a Smart Data Platform;development support and automation;recommendations;;software maintenance;code and change prediction;;;;
Mining API Interactions to Analyze Software Revisions for the Evolution of Energy Consumption;software quality;energy efficiency;;software maintenance;dependency management;;;;
Documented Unix Facilities over 48 Years;collaboration and coordination;organisational structures;;software maintenance;change patterns and evolution;;;;
An Empirical Analysis of Build Failures in the Continuous Integration Workflows of Java-Based Open-Source Software;software maintenance;development operations;CI/CD;software maintenance;development operations;builds;;;
A Repository with 44 Years of Unix Evolution;MSR techniques;dataset and benchmark creation;;software maintenance;change patterns and evolution;;;;
EGAD: A moldable tool for GitHub Action analysis;MSR techniques;tool development;;software maintenance;development operations;CI/CD;;;
An Empirical Study of End-User Programmers in the Computer Music Community;software maintenance;change patterns and evolution;;;;;;;
SOTorrent: Studying the Origin, Evolution, and Usage of Stack Overflow Code Snippets;MSR techniques;dataset and benchmark creation;;software maintenance;change patterns and evolution;;collaboration and coordination;communication;
Maintenance and Evolution: GrimoireLab Graal;software quality;code metrics;;software maintenance;change patterns and evolution;;software architecture and design;conformance and evolution;
How Android App Developers Manage Power Consumption? - An Empirical Study by Mining Power Management Commits;software quality;energy efficiency;;software maintenance;change patterns and evolution;;;;
An Empirical Study on the Survival Rate of GitHub Projects;software maintenance;activity and productivity;;;;;;;
Towards Mining Answer Edits to Extract Evolution Patterns in Stack Overflow;collaboration and coordination;communication;topic modeling;;;;;;
An Exploratory Study of Project Activity Changepoints in Open Source Software Evolution;software maintenance;activity and productivity;;software maintenance;change patterns and evolution;;;;
Behind the Intents: An In-depth Empirical Study on Software Refactoring in Modern Code Review;software quality;code reviews;;software maintenance;refactoring;;software maintenance;change patterns and evolution;
How do Machine Learning Projects use Continuous Integration Practices? An Empirical Study on GitHub Actions;software maintenance;development operations;MLOps;software maintenance;development operations;CI/CD;;;
Leveraging Historical Versions of Android Apps for Efficient and Precise Taint Analysis;software quality;vulnerabilities and security;detection;MSR techniques;tool development;;;;
An Empirical Study of the Copy and Paste Behavior during Development;software maintenance;reuse and clones;;software maintenance;change patterns and evolution;;;;
A dataset of GitHub Actions workflow histories;software maintenance;development operations;CI/CD;MSR techniques;tool development;;;;
A Mutation-Guided Assessment of Acceleration Approaches for Continuous Integration: An Empirical Study of YourBase;software maintenance;development operations;CI/CD;software maintenance;development operations;builds;;;
Do Customized Android Frameworks Keep Pace with Android?;software maintenance;code merge;;;;;;;
Analyzing the Evolution and Maintenance of ML Models on Hugging Face;collaboration and coordination;communication;;;;;;;
Structure and Evolution of Package Dependency Networks;software maintenance;dependency management;;;;;;;
Exception Evolution in Long-Lived Java Systems;software architecture and design;patterns;;software architecture and design;conformance and evolution;;software maintenance;change patterns and evolution;
What Edits are Done on the Highly Answered Questions in Stack Overflow? An Empirical Study;collaboration and coordination;communication;topic modeling;;;;;;
Characterizing High-Quality Test Methods: A First Empirical Study;software quality;tests;;;;;;;
An Empirical Study of Build Failures in the Docker Context;software maintenance;development operations;builds;;;;;;
An Empirical Study on the Usage of BERT Models for Code Completion;development support and automation;generation;code generation;;;;;;
Which Non-functional Requirements Do Developers Focus On? An Empirical Study on Stack Overflow Using Topic Analysis;collaboration and coordination;communication;topic modeling;software architecture and design;requirements;;;;
An Empirical Study of Activity, Popularity, Size, Testing, and Stability in Continuous Integration;software maintenance;development operations;CI/CD;collaboration and coordination;onboarding;;;;
Empirical Study on the Relationship Between Developer's Working Habits and Efficiency;software maintenance;activity and productivity;;;;;;;
Analysis of Exception Handling Patterns in Java Projects: An Empirical Study;software architecture and design;patterns;;;;;;;
Which bugs are missed in code reviews: An empirical study on SmartSHARK dataset;software quality;code reviews;;software quality;defects;detection;software quality;defects;patterns
An Empirical Study to Investigate Collaboration Among Developers in Open Source Software (OSS);collaboration and coordination;;;software maintenance;change patterns and evolution;;;;
An Empirical Study on the Impact of Deimplicitization on Comprehension in Programs Using Application Frameworks;development support and automation;;;software maintenance;refactoring;;software maintenance;activity and productivity;
A Large-Scale Empirical Study of Open Source License Usage: Practices and Challenges;software governance;licensing;;;;;;;
Predicting Likelihood of Requirement Implementation within the Planned Iteration: An Empirical Study at IBM;software architecture and design;requirements;;software maintenance;effort estimation;;software governance;release management;
Challenges in Chatbot Development: A Study of Stack Overflow Posts;collaboration and coordination;communication;topic modeling;;;;;;
Studying the Impact of Continuous Delivery Adoption on Bug-Fixing Time in Apache's Open-Source Projects;software maintenance;development operations;CI/CD;software quality;defects;fixes;software maintenance;activity and productivity;
A Study on the Role of Software Architecture in the Evolution and Quality of Software;software architecture and design;conformance and evolution;;software maintenance;change patterns and evolution;;software quality;defects;detection
Does Generative AI Generate Smells Related to Container Orchestration?: An Exploratory Study with Kubernetes Manifests;software quality;defects;patterns;development support and automation;generation;code generation;software maintenance;development operations;
Bug Characteristics in Blockchain Systems: A Large-Scale Empirical Study;software quality;defects;patterns;software quality;defects;fixes;;;
git2net - Mining Time-Stamped Co-Editing Networks from Large git Repositories;collaboration and coordination;organisational structures;;MSR techniques;tool development;;;;
Analyzing Developer-ChatGPT Conversations for Software Refactoring: An Exploratory Study;development support and automation;generation;code generation;software maintenance;refactoring;;collaboration and coordination;communication;topic modeling
An Empirical Study of Developer Discussions on Low-Code Software Development Challenges;collaboration and coordination;communication;topic modeling;;;;;;
Understanding the Exception Handling Strategies of Java Libraries: An Empirical Study;software architecture and design;patterns and anti-patterns;;;;;;;
An Empirical Study of OSS-Fuzz Bugs;software quality;tests;;software maintenance;development operations;;software quality;defects;detection
An Empirical Study of Architectural Change in Open-Source Software Systems;software architecture and design;conformance and evolution;;MSR techniques;tool development;;software maintenance;;
What constitutes Software? An Empirical, Descriptive Study of Artifacts;software architecture and design;;;;;;;;
On the Co-Occurrence of Refactoring of Test and Source Code;software maintenance;refactoring;;software quality;tests;;;;
Chatting with AI: Deciphering Developer Conversations with ChatGPT;development support and automation;generation;code generation;development support and automation;information retrieval;;collaboration and coordination;communication;topic modeling
A Complete Set of Related Git Repositories Identified via Community Detection Approaches Based on Shared Commits;software architecture and design;features and variants;;software maintenance;reuse and clones;;software usage;;
Geographic Diversity in Public Code Contributions: An Exploratory Large-Scale Study Over 50 Years;collaboration and coordination;human factors and values;;;;;;;
A Look at the Dynamics of the JavaScript Package Ecosystem;software usage;popularity;;software maintenance;dependency management;;;;
How Do Apps Evolve in Their Permission Requests? A Preliminary Study;software maintenance;change patterns and evolution;;software architecture and design;conformance and evolution;;;;
TypeScript’s Evolution: An Analysis of Feature Adoption Over Time;software architecture and design;features and variants;;software architecture and design;conformance and evolution;;;;
Evolution of the Practice of Software Testing in Java Projects;software quality;tests;;software quality;defects;;;;
The Android Update Problem: An Empirical Study;software maintenance;updates and upgrades;;software maintenance;change patterns and evolution;;software architecture and design;features and variants;
Data-Driven Solutions to Detect API Compatibility Issues in Android: An Empirical Study;software maintenance;dependency management;;MSR techniques;tool development;;development support and automation;recommendations;
Method Chaining Redux: An Empirical Study of Method Chaining in Java, Kotlin, and Python;software architecture and design;patterns and anti-patterns;;software maintenance;change patterns and evolution;;;;
An Empirical Study on the Performance of Individual Issue Label Prediction;development support and automation;ticket and task resolution;;;;;;;
On the Effectiveness of Machine Learning-based Call Graph Pruning: An Empirical Study;software quality;vulnerabilities and security;detection;software quality;tests;;development support and automation;visualisation;
An Empirical Study of High Performance Computing (HPC) Performance Bugs;software quality;performance;;software quality;defects;patterns;;;
Phylogenetic Analysis of Reticulate Software Evolution;software maintenance;dependency management;;software maintenance;change patterns and evolution;;;;
Developer Interaction Traces Backed by IDE Screen Recordings from Think Aloud Sessions;no MSR study;;;;;;;;
SOTorrent: Reconstructing and Analyzing the Evolution of Stack Overflow Posts;MSR techniques;tool development;;;;;;;
Profiling Call Changes Via Motif Mining;development support and automation;visualisation;;software maintenance;change patterns and evolution;;software architecture and design;patterns and anti-patterns;
Locating Bugs without Looking Back;development support and automation;recommendations;;software quality;defects;fixes;;;
The Impact of Dynamics of Collaborative Software Engineering on Introverts: A Study Protocol;no MSR study;;;;;;;;
RefDiff: Detecting Refactorings in Version Histories;software maintenance;refactoring;;MSR techniques;tool development;;;;
Impact of Stack Overflow Code Snippets on Software Cohesion: A Preliminary Study;collaboration and coordination;communication;;software maintenance;reuse and clones;;software quality;code metrics;
Fuse: A Reproducible, Extendable, Internet-Scale Corpus of Spreadsheets;MSR techniques;dataset and benchmark creation;;;;;;;
A Time Series Analysis of TravisTorrent Builds: To Everything There Is a Season;software maintenance;development operations;CI/CD;software maintenance;development operations;builds;;;
The Uniqueness of Changes: Characteristics and Applications;software maintenance;change patterns and evolution;;;;;;;
The Debsources Dataset: Two Decades of Debian Source Code Metadata;MSR techniques;dataset and benchmark creation;;;;;;;
Challenges in Migrating Imperative Deep Learning Programs to Graph Execution: An Empirical Study;software architecture and design;patterns and anti-patterns;;software quality;performance;;software quality;defects;patterns
Improving Change Recommendation using Aggregated Association Rules;software maintenance;change impact analysis;;software maintenance;change patterns and evolution;;;;
Comparing Repositories Visually with RepoGrams;development support and automation;visualisation;;MSR techniques;tool development;;;;
Time Present and Time Past: Analyzing the Evolution of JavaScript Code in the Wild;software maintenance;change patterns and evolution;;software quality;defects;patterns;;;
Helm Charts for Kubernetes Applications: Evolution, Outdatedness and Security Risks;software maintenance;development operations;;software usage;popularity;;software quality;vulnerabilities and security;
A Large-Scale Comparison of Python Code in Jupyter Notebooks and Scripts;software architecture and design;documentation;;software quality;code metrics;;MSR techniques;tool development;
A Dataset of Enterprise-Driven Open Source Software;MSR techniques;dataset and benchmark creation;;;;;;;
How Do So ware Developers Use ChatGPT? An Exploratory Study on GitHub Pull Requests;software usage;patterns;;development support and automation;;;;;
Why Power Laws? An Explanation from Fine-Grained Code Changes;software maintenance;change patterns and evolution;;;;;;;
Detection and Analysis of Behavioral T-Patterns in Debugging Activities;software maintenance;debugging and logging;;software usage;patterns;;;;
She Elicits Requirements and He Tests: Software Engineering Gender Bias in Large Language Models;collaboration and coordination;human factors and values;;;;;;;
LAGOON: An Analysis Tool for Open Source Communities;MSR techniques;tool development;;;;;;;
A Large-Scale Empirical Study on Self-Admitted Technical Debt;software maintenance;technical debt;;;;;;;
Exploring the Use of Automated API Migrating Techniques in Practice: An Experience Report on Android;software maintenance;dependency management;;software maintenance;updates and upgrades;;;;
How Often and What StackOverflow Posts Do Developers Reference in Their GitHub Projects?;collaboration and coordination;communication;;software architecture and design;documentation;;;;
Feature Toggle Usage Patterns: A Case Study on Google Chromium;software architecture and design;features and variants;;software usage;patterns;;;;
gawd: A Differencing Tool for GitHub Actions Workflows;MSR techniques;tool development;;software maintenance;development operations;CI/CD;software maintenance;change patterns and evolution;
Unveiling ChatGPT’s Usage in Open Source Projects: A Mining-based Study;software usage;patterns;;;;;;;
What Do Users Ask in Open-Source AI Repositories? An Empirical Study of GitHub Issues;collaboration and coordination;communication;;development support and automation;ticket and task resolution;;;;
Was Self-Admitted Technical Debt Removal a Real Removal? An In-Depth Perspective;software maintenance;technical debt;;;;;;;
Do Not Trust Build Results at Face Value - An Empirical Study of 30 Million CPAN Builds;software maintenance;development operations;CI/CD;software maintenance;development operations;builds;;;
JITLine: A Simpler, Better, Faster, Finer-grained Just-In-Time Defect Prediction;software quality;defects;localisation;;;;;;
Developer Mistakes in Writing Android Manifests: An Empirical Study of Configuration Errors;software architecture and design;configuration;;software quality;defects;;MSR techniques;tool development;
The Scent of Deep Learning Code: An Empirical Study;software quality;code metrics;;software quality;defects;;software maintenance;technical debt;code smells
Automatically Granted Permissions in Android apps: An Empirical Study on their Prevalence and on the Potential Threats for Privacy;software quality;vulnerabilities and security;;software usage;app stores;;software maintenance;updates and upgrades;
An Empirical Study on Regular Expression Bugs;software quality;defects;patterns;software maintenance;technical debt;;;;
Keep Me Updated: An Empirical Study on Embedded JavaScript Engines in Android Apps;software quality;vulnerabilities and security;;software maintenance;updates and upgrades;;MSR techniques;tool development;
Does This Apply to Me? An Empirical Study of Technical Context in Stack Overflow;collaboration and coordination;communication;;;;;;;
From Innovations to Prospects: What Is Hidden Behind Cryptocurrencies?;software architecture and design;features and variants;;software maintenance;reuse and clones;;;;
An Empirical Study on Maintainable Method Size in Java;software maintenance;;;software quality;code metrics;;software quality;defects;patterns
GuiEvo: Automated Evolution of Mobile Application GUIs;MSR techniques;tool development;;software maintenance;change patterns and evolution;;development support and automation;;
On the Prevalence, Impact, and Evolution of SQL Code Smells in Data-Intensive Systems;software maintenance;technical debt;code smells;software quality;defects;patterns;;;
Are Bullies More Productive? Empirical Study of Affectiveness vs. Issue Fixing Time;collaboration and coordination;communication;sentiment analysis;software maintenance;activity and productivity;;software quality;defects;fixes
An Empirical Study on Android-Related Vulnerabilities;software quality;vulnerabilities and security;;;;;;;
To Mock or Not to Mock? An Empirical Study on Mocking Practices;software quality;tests;;MSR techniques;tool development;;software maintenance;dependency management;
Characteristics of Useful Code Reviews: An Empirical Study at Microsoft;software quality;code reviews;;development support and automation;recommendations;;;;
Predicting Design Impactful Changes in Modern Code Review: A Large-Scale Empirical Study;software quality;code reviews;;software architecture and design;conformance and evolution;;software maintenance;change impact analysis;
Empirical Study of Restarted and Flaky Builds on Travis CI;software maintenance;development operations;CI/CD;software maintenance;development operations;builds;;;
On Codex Prompt Engineering for OCL Generation: An Empirical Study;software architecture and design;documentation;;development support and automation;generation;documentation generation;;;
Code Review Practices for Refactoring Changes: An Empirical Study on OpenStack;software quality;code reviews;;software maintenance;refactoring;;;;
An Empirical Study of Method Chaining in Java;software architecture and design;patterns and anti-patterns;;;;;;;
Enriching Source Code with Contextual Data for Code Completion Models: An Empirical Study;development support and automation;generation;code generation;software architecture and design;documentation;;;;
Why are Android Apps Removed From Google Play? A Large-Scale Empirical Study;software usage;app stores;;software usage;patterns;;;;
Does Configuration Encoding Matter in Learning Software Performance? An Empirical Study on Encoding Schemes;software quality;performance;;;;;;;
An Empirical Study on the Practice of Maintaining Object-Relational Mapping Code in Java Systems;software maintenance;change patterns and evolution;;software architecture and design;conformance and evolution;;;;
Learning Off-By-One Mistakes: An Empirical Study;software quality;defects;prediction;;;;;;
An Empirical Study on Just-in-time Conformal Defect Prediction;software quality;defects;prediction;;;;;;
Are Latent Vulnerabilities Hidden Gems for Software Vulnerability Prediction? An Empirical Study;software quality;vulnerabilities and security;prediction;software quality;vulnerabilities and security;localisation;;;
Data Sets: The Circle of Life in Ruby Hosting, 2003-2015;MSR techniques;dataset and benchmark creation;;software maintenance;activity and productivity;;software governance;licensing;
A Historical Analysis of Debian Package Incompatibilities;software maintenance;dependency management;;;;;;;
The State of the ML-universe: 10 Years of Artificial Intelligence & Machine Learning Software Development on GitHub;software maintenance;activity and productivity;;collaboration and coordination;mechanisms;;software usage;popularity;
Splitting APIs: An Exploratory Study of Software Unbundling;software usage;patterns;;software usage;improvements;;software architecture and design;redesign and reengineering;
Googling for Software Development: What Developers Search For and What They Find;development support and automation;information retrieval;;;;;;;
Exploring the Effect of Multiple Natural Languages on Code Suggestion Using GitHub Copilot;development support and automation;generation;code generation;;;;;;
SpreadCluster: Recovering Versioned Spreadsheets through Similarity-Based Clustering;software maintenance;change patterns and evolution;;MSR techniques;dataset and benchmark creation;;;;
What did Really Change with the New Release of the App?;MSR techniques;tool development;;software maintenance;change patterns and evolution;;software architecture and design;conformance and evolution;
Exploratory Study of Slack Q&A Chats as a Mining Source for Software Engineering Tools;collaboration and coordination;communication;topic modeling;;;;;;
Operationalizing Threats to MSR Studies by Simulation-Based Testing;MSR techniques;threats;;;;;;;
Going Green: An Exploratory Analysis of Energy-Related Questions;software quality;energy efficiency;;collaboration and coordination;communication;topic modeling;;;
The Impact of a Major Security Event on an Open Source Project: The Case of OpenSSL;software quality;vulnerabilities and security;;software quality;code metrics;;software maintenance;activity and productivity;
Studying the Change Histories of Stack Overflow and GitHub Snippets;software maintenance;reuse and clones;;software maintenance;change patterns and evolution;;;;
Comprehension Effort and Programming Activities: Related? Or Not Related?;software quality;code metrics;;software maintenance;effort estimation;;;;
How Open Source Projects Use Static Code Analysis Tools in Continuous Integration Pipelines;software maintenance;development operations;CI/CD;software quality;defects;detection;software quality;defects;patterns
An Evaluation of Open-Source Software Microbenchmark Suites for Continuous Performance Assessment;software quality;performance;;software quality;tests;;software maintenance;development operations;CI/CD
Insights into Continuous Integration Build Failures;software maintenance;development operations;CI/CD;collaboration and coordination;organisational structures;;software quality;code metrics;
Snakes in Paradise?: Insecure Python-Related Coding Practices in Stack Overflow;software quality;vulnerabilities and security;;collaboration and coordination;communication;;;;
Does UML Modeling Associate with Lower Defect Proneness?: A Preliminary Empirical Investigation;software architecture and design;patterns;;software architecture and design;documentation;;software quality;defects;patterns
Intertwining Communities: Exploring Libraries that Cross Software Ecosystems;software maintenance;dependency management;;collaboration and coordination;organisational structures;;;;
Analyzing Developer Use of ChatGPT Generated Code in Open Source GitHub Projects;development support and automation;generation;code generation;software maintenance;reuse and clones;;software maintenance;change patterns and evolution;
Tracking Hackathon Code Creation and Reuse;software maintenance;reuse and clones;;software maintenance;change patterns and evolution;;software architecture and design;features and variants;
How I Learned to Stop Worrying and Love ChatGPT;development support and automation;generation;code generation;software maintenance;change patterns and evolution;;;;
Investigating Next Steps in Static API-Misuse Detection;software maintenance;dependency management;;MSR techniques;tool development;;development support and automation;visualisation;
Control and Data Flow in Security Smell Detection for Infrastructure as Code: Is It Worth the Effort?;software quality;vulnerabilities and security;detection;MSR techniques;tool development;;;;
Waiting around or job half-done? Sentiment in self-admitted technical debt;software maintenance;technical debt;;collaboration and coordination;communication;sentiment analysis;;;
Characterizing and Understanding Software Security Vulnerabilities in Machine Learning Libraries;software quality;vulnerabilities and security;detection;software quality;vulnerabilities and security;fixes;software quality;vulnerabilities and security;patterns
Don’t Forget the Exception! : Considering Robustness Changes to Identify Design Problems;software maintenance;technical debt;code smells;software architecture and design;patterns and anti-patterns;;;;
Unveiling the Relationship Between Continuous Integration and Code Coverage;software maintenance;development operations;CI/CD;software quality;code metrics;;;;
Smelly Variables in Ansible Infrastructure Code: Detection, Prevalence, and Lifetime;software maintenance;technical debt;code smells;software quality;defects;detection;software quality;defects;patterns
FEVER: Extracting Feature-oriented Changes from Commits;MSR techniques;tool development;;software architecture and design;features and variants;;software architecture and design;configuration;
DaSEA - A Dataset for Software Ecosystem Analysis;MSR techniques;dataset and benchmark creation;;MSR techniques;tool development;;software maintenance;dependency management;
The Impact of Code Ownership of DevOps Artefacts on the Outcome of DevOps CI Builds;software maintenance;development operations;CI/CD;software maintenance;development operations;builds;collaboration and coordination;;
What Code Is Deliberately Excluded from Test Coverage and Why?;software quality;tests;;;;;;;
Stack Overflow in Github: Any Snippets There?;software maintenance;reuse and clones;;;;;;;
From Query to Usable Code: An Analysis of Stack Overflow Code Snippets;software maintenance;reuse and clones;;;;;;;
DistilKaggle: A Distilled Dataset of Kaggle Jupyter Notebooks;MSR techniques;dataset and benchmark creation;;software quality;code metrics;;software architecture and design;documentation;
Grouping Android Tag Synonyms on Stack Overflow;collaboration and coordination;communication;topic modeling;;;;;;
Need for Tweet: How Open Source Developers Talk About Their GitHub Work on Twitter;collaboration and coordination;communication;topic modeling;software maintenance;activity and productivity;;;;
An Exploratory Study on Energy Consumption of Dataframe Processing Libraries;software quality;energy efficiency;;;;;;;
RmvDroid: Towards A Reliable Android Malware Dataset with App Metadata;MSR techniques;dataset and benchmark creation;;software quality;vulnerabilities and security;;;;
The Maven Dependency Graph: A Temporal Graph-Based Representation of Maven Central;MSR techniques;dataset and benchmark creation;;MSR techniques;tool development;;software maintenance;dependency management;
A Dataset for API Usage;MSR techniques;dataset and benchmark creation;;software maintenance;dependency management;;;;
ConPan: A Tool to Analyze Packages in Software Containers;MSR techniques;tool development;;software maintenance;dependency management;;software maintenance;effort estimation;
STRAIT: A Tool for Automated Software Reliability Growth Analysis;MSR techniques;tool development;;software quality;;;software maintenance;effort estimation;
GIRT-Data: Sampling GitHub Issue Report Templates;MSR techniques;dataset and benchmark creation;;;;;;;
A Mixed Graph-Relational Dataset of Socio-technical Interactions in Open Source Systems;MSR techniques;dataset and benchmark creation;;collaboration and coordination;organisational structures;;software quality;;
AndroZoo: A Retrospective with a Glimpse into the Future;MSR techniques;dataset and benchmark creation;;software usage;app stores;;;;
GitHub OSS Governance File Dataset;MSR techniques;dataset and benchmark creation;;software governance;;;;;
A Dataset of Atoms of Confusion in the Android Open Source Project;MSR techniques;dataset and benchmark creation;;software quality;defects;;;;
A Design Structure Matrix Approach for Measuring Co-change-Modularity of Software Products;software architecture and design;conformance and evolution;;software maintenance;dependency management;;software maintenance;change patterns and evolution;
Leveraging GPT-like LLMs to Automate Issue Labeling;development support and automation;ticket and task resolution;;;;;;;
Understanding the Origins of Mobile App Vulnerabilities: A Large-Scale Measurement Study of Free and Paid Apps;software quality;vulnerabilities and security;;software maintenance;dependency management;;;;
Detecting and Characterizing Bots that Commit Code;software maintenance;bots;;MSR techniques;tool development;;;;
500+ Times Faster than Deep Learning: (A Case Study Exploring Faster Methods for Text Mining StackOverflow);development support and automation;topic and knowledge modeling;;collaboration and coordination;communication;;;;
Inter-app Communication in Android: Developer Challenges;software architecture and design;conformance and evolution;;software usage;popularity;;software maintenance;dependency management;
Domain-Specific Cross-Language Relevant Question Retrieval;development support and automation;information retrieval;;collaboration and coordination;communication;;;;
Do Bugs Foreshadow Vulnerabilities? A Study of the Chromium Project;software quality;defects;patterns;software quality;vulnerabilities and security;patterns;;;
Developer-Driven Code Smell Prioritization;software maintenance;technical debt;code smells;;;;;;
Extracting Build Changes with BUILDDIFF;software maintenance;development operations;builds;software maintenance;change patterns and evolution;;MSR techniques;tool development;
Anatomy of Functionality Deletion: An Exploratory Study on Mobile Apps;software architecture and design;features and variants;;software usage;app stores;;;;
The Secret Life of Hackathon Code Where does it come from and where does it go?;software maintenance;reuse and clones;;;;;;;
On the Impact of Security Vulnerabilities in the npm Package Dependency Network;software quality;vulnerabilities and security;patterns;software maintenance;dependency management;;;;
Analyzing Conflict Predictors in Open-Source Java Projects;software maintenance;change patterns and evolution;;software maintenance;code merge;;software maintenance;code and change prediction;
Automatically Generating Documentation for Lambda Expressions in Java;development support and automation;generation;documentation generation;MSR techniques;tool development;;;;
Using Developer-Interaction Trails to Triage Change Requests;development support and automation;ticket and task resolution;;development support and automation;recommendations;;MSR techniques;tool development;
Dealing with Popularity Bias in Recommender Systems for Third-party Libraries: How far Are We?;development support and automation;recommendations;;software usage;popularity;;MSR techniques;threats;
Understanding the Time to First Response in GitHub Pull Requests;collaboration and coordination;communication;;software maintenance;activity and productivity;;;;
Understanding the Role of Images on Stack Overflow;collaboration and coordination;communication;;;;;;;
An Empirical Evaluation of GitHub Copilot's Code Suggestions;development support and automation;generation;code generation;software quality;code metrics;;;;
Using Others' Tests to Identify Breaking Updates;software maintenance;reuse and clones;;software maintenance;dependency management;;software quality;tests;
A Study on the Accuracy of OCR Engines for Source Code Transcription from Programming Screencasts;development support and automation;generation;code generation;;;;;;
On the Relationship between User Churn and Software Issues;software usage;improvements;;software quality;;;;;
CLEVER: Combining Code Metrics with Clone Detection for Just-in-Time Fault Prevention and Resolution in Large Industrial Projects;software quality;defects;prediction;software quality;defects;fixes;MSR techniques;tool development;
Characterising Deprecated Android APIs;software maintenance;dependency management;;MSR techniques;tool development;;;;
Rationale in Development Chat Messages: An Exploratory Study;collaboration and coordination;communication;topic modeling;;;;;;
Analyzing Program Dependencies in Java EE Applications;software maintenance;dependency management;;software architecture and design;documentation;;MSR techniques;tool development;
Characterizing the Roles of Contributors in Open-Source Scientific Software Projects;collaboration and coordination;organisational structures;;software maintenance;activity and productivity;;;;
Mining Performance Regression Inducing Code Changes in Evolving Software;software quality;performance;;software maintenance;change impact analysis;;MSR techniques;tool development;
An Alternative Issue Tracking Dataset of Public Jira Repositories;MSR techniques;dataset and benchmark creation;;software quality;defects;;collaboration and coordination;communication;
Large-Scale Analysis of the Co-commit Patterns of the Active Developers in GitHub's Top Repositories;collaboration and coordination;organisational structures;;software maintenance;activity and productivity;;;;
Encoding Version History Context for Better Code Representation;development support and automation;generation;code generation;;;;;;
What Can Self-Admitted Technical Debt Tell Us About Security? A Mixed-Methods Study;software maintenance;technical debt;;software quality;vulnerabilities and security;;;;
Table of contents;no MSR study;;;;;;;;
