Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
What Makes a Good TODO Comment?;software maintenance;technical debt;;development support and automation;ticket and task resolution;;;;
Automating TODO-missed Methods Detection and Patching;software maintenance;technical debt;;MSR techniques;tool development;;;;
A Catalog of Data Smells for Coding Tasks;no MSR study;;;;;;;;
Editorial: TOSEM Journal in 2025 and Beyond;no MSR study;;;;;;;;
Cleaning Up Confounding: Accounting for Endogeneity Using Instrumental Variables and Two-Stage Models;MSR techniques;threats;;;;;;;
Predictive Models in Software Engineering: Challenges and Opportunities;no MSR study;;;;;;;;
A Roadmap for Software Testing in Open-Collaborative and AI-Powered Era;no MSR study;;;;;;;;
A Survey of Source Code Search: A 3-Dimensional Perspective;no MSR study;;;;;;;;
A Systematic Review of Automated Query Reformulations in Source Code Search;no MSR study;;;;;;;;
A Characterization Study of Merge Conflicts in Java Projects;software maintenance;merge conflicts;;;;;;;
Women’s Participation in Open Source Software: A Survey of the Literature;no MSR study;;;;;;;;
A Systematic Literature Review of Multi-Label Learning in Software Engineering;no MSR study;;;;;;;;
From Triumph to Uncertainty: The Journey of Software Engineering in the AI Era;no MSR study;;;;;;;;
Open Source License Inconsistencies on GitHub;software governance;licensing;;;;;;;
I Know What You Are Searching for: Code Snippet Recommendation from Stack Overflow Posts;development support and automation;information retrieval;;development support and automation;recommendations;;MSR techniques;tool development;
SEAL: Integrating Program Analysis and Repository Mining;MSR techniques;tool development;;software maintenance;change patterns and evolution;;collaboration and coordination;organisational structures;
Large Language Models for Software Engineering: A Systematic Literature Review;no MSR study;;;;;;;;
The Human Side of Fuzzing: Challenges Faced by Developers during Fuzzing Activities;software quality;tests;;;;;;;
Hierarchical and Hybrid Organizational Structures in Open-source Software Projects: A Longitudinal Study;collaboration and coordination;organisational structures;;;;;;;
Towards Causal Analysis of Empirical Software Engineering Data: The Impact of Programming Languages on Coding Competitions;MSR techniques;threats;;collaboration and coordination;expertise;;;;
Large Language Model for Vulnerability Detection and Repair: Literature Review and the Road Ahead;no MSR study;;;;;;;;
The State of Empirical Evaluation in Static Feature Location;no MSR study;;;;;;;;
SourcererJBF: A Java Build Framework For Large-Scale Compilation;MSR techniques;tool development;;software maintenance;development operations;builds;;;
Do Developers Really Know How to Use Git Commands? A Large-scale Study Using Stack Overflow;software usage;popularity;;software usage;patterns;;collaboration and coordination;communication;topic modeling
Mastering Variation in Human Studies: The Role of Aggregation;no MSR study;;;;;;;;
A Systematic Literature Review on the Use of Deep Learning in Software Engineering Research;no MSR study;;;;;;;;
The ABC of Software Engineering Research;no MSR study;;;;;;;;
Software Security Analysis in 2030 and Beyond: A Research Roadmap;no MSR study;;;;;;;;
Method-level Bug Prediction: Problems and Promises;MSR techniques;threats;;software quality;defects;prediction;;;
Modern Code Reviews—Survey of Literature and Practice;no MSR study;;;;;;;;
An Exploratory Study on Machine Learning Model Management;software maintenance;development operations;MLOps;;;;;;
Editorial;no MSR study;;;;;;;;
Measuring and Clustering Heterogeneous Chatbot Designs;development support and automation;information retrieval;;software architecture and design;;;MSR techniques;dataset and benchmark creation;
History-based Model Repair Recommendations;development support and automation;recommendations;;software architecture and design;re-design and re-engineering;;;;
Using Cohesion and Coupling for Software Remodularization: Is It Enough?;software architecture and design;re-design and re-engineering;;software maintenance;refactoring;;;;
When and How to Make Breaking Changes: Policies and Practices in 18 Open Source Software Ecosystems;collaboration and coordination;human factors and values;;software maintenance;change patterns and evolution;;;;
A Survey of Flaky Tests;no MSR study;;;;;;;;
Replication in Requirements Engineering: The NLP for RE Case;no MSR study;;;;;;;;
Estimating Uncertainty in Labeled Changes by SZZ Tools on Just-In-Time Defect Prediction;software quality;defects;prediction;MSR techniques;threats;;;;
Suboptimal Comments in Java Projects: From Independent Comment Changes to Commenting Practices;software maintenance;change patterns and evolution;;software architecture and design;documentation;;development support and automation;generation;documentation generation
DiaPro: Unifying Dynamic Impact Analyses for Improved and Variable Cost-Effectiveness;software maintenance;change impact analysis;;MSR techniques;tool development;;;;
How Far We Have Progressed in the Journey? An Examination of Cross-Project Defect Prediction;software quality;defects;prediction;;;;;;
Measuring and Modeling Group Dynamics in Open-Source Software Development: A Tensor Decomposition Approach;collaboration and coordination;organisational structures;;collaboration and coordination;communication;;;;
Towards an Anatomy of Software Craftsmanship;no MSR study;;;;;;;;
On the Reproducibility and Replicability of Deep Learning in Software Engineering;MSR techniques;threats;;;;;;;
Software Change Contracts;software architecture and design;conformance and evolution;;software maintenance;change patterns and evolution;;software quality;tests;
